id,gender,age,dependents,lifetime,phone_services,internet_services,online_streaming,multiple_connections,premium_plan,online_protect,contract_plan,ebill_services,default_payment,monthly_charges,issues,exit_status
4521,Female,30-45,No,46,No,3G,Sometimes,,No,No,Month-to-month,No,Online Transfer,45.55,8,No
1131,Female,30-45,No,14,Yes,3G,Sometimes,Yes,No,No,Month-to-month,Yes,Auto-payment,64.7,22,Yes
1752,Male,30-45,No,27,Yes,3G,No,No,No,No,One year,No,Auto-payment,48.7,8,No
1904,Male,18-30,No,56,Yes,4G,Sometimes,Yes,Yes,No,Month-to-month,Yes,Online Transfer,94.45,29,Yes
772,Female,18-30,No,1,Yes,None,,No,,,Month-to-month,No,Physical,19.9,20,Yes
4288,Male,18-30,Yes,3,Yes,4G,Sometimes,Yes,No,Yes,Month-to-month,No,Online Transfer,91.85,26,Yes
6445,Male,18-30,No,4,Yes,4G,Sometimes,Yes,No,No,Month-to-month,No,Online Transfer,90.65,4,No
4344,Female,18-30,No,68,Yes,3G,Major User,Yes,No,Yes,Two year,Yes,Online Transfer,80.65,4,No
5383,Male,18-30,No,36,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Online Transfer,84.75,19,Yes
1746,Female,18-30,No,72,Yes,4G,Major User,Yes,Yes,Yes,Two year,Yes,Auto-payment,116.45,10,No
6106,Male,18-30,No,2,Yes,3G,No,No,No,Yes,Month-to-month,Yes,Physical,55.1,20,Yes
654,Female,>60,No,8,Yes,None,,No,,,Month-to-month,No,Online Transfer,19.65,24,Yes
3631,Female,45-60,No,1,Yes,3G,No,No,No,No,Month-to-month,Yes,Online Transfer,49.55,27,Yes
3478,Female,18-30,No,23,Yes,3G,Major User,Yes,No,Yes,One year,Yes,Online Transfer,78.55,12,No
2011,Male,30-45,Yes,53,Yes,3G,Major User,Yes,Yes,Yes,Month-to-month,No,Online Transfer,85.7,19,No
473,Male,30-45,No,24,Yes,3G,No,No,Yes,No,Month-to-month,No,Physical,53.6,13,No
350,Male,30-45,Yes,37,Yes,3G,No,Yes,Yes,Yes,Two year,Yes,Auto-payment,62.8,9,No
649,Male,>60,No,24,Yes,4G,No,No,No,No,Month-to-month,No,Auto-payment,70,9,No
4925,Male,30-45,No,64,Yes,4G,Major User,Yes,Yes,Yes,One year,Yes,Physical,108.5,11,No
2507,Male,30-45,No,71,Yes,None,,Yes,,,Two year,Yes,Online Transfer,24.5,17,No
2646,Male,18-30,No,56,Yes,3G,Major User,No,Yes,Yes,Two year,Yes,Auto-payment,81.8,9,No
3031,Female,45-60,No,50,Yes,4G,No,No,No,No,Month-to-month,Yes,Online Transfer,71.05,24,Yes
1083,Male,18-30,No,2,Yes,4G,Sometimes,No,No,No,Month-to-month,Yes,Online Transfer,80.95,21,Yes
882,Female,18-30,No,6,Yes,4G,Sometimes,No,No,Yes,Month-to-month,No,Online Transfer,83.9,27,Yes
187,Male,18-30,No,3,No,3G,No,,Yes,No,Month-to-month,No,Online Transfer,30.4,12,No
822,Male,18-30,No,47,Yes,4G,Major User,Yes,No,Yes,One year,Yes,Online Transfer,103.1,13,No
668,Female,18-30,No,4,Yes,3G,No,No,No,No,Month-to-month,No,Physical,45.65,23,Yes
1637,Male,18-30,No,66,No,3G,No,,Yes,No,One year,No,Auto-payment,29.45,9,No
2663,Female,30-45,No,59,Yes,4G,Major User,Yes,No,Yes,One year,Yes,Auto-payment,109.15,19,No
2789,Female,18-30,No,24,Yes,4G,Sometimes,Yes,No,Yes,Month-to-month,Yes,Auto-payment,88.95,10,No
3871,Male,18-30,No,3,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Auto-payment,101.55,25,Yes
3754,Male,18-30,No,1,Yes,None,,No,,,Month-to-month,No,Physical,20.05,16,No
6760,Male,18-30,Yes,4,Yes,3G,No,No,No,No,Month-to-month,Yes,Online Transfer,49.4,22,Yes
1607,Male,45-60,No,13,Yes,4G,Sometimes,No,Yes,No,Month-to-month,Yes,Auto-payment,89.05,25,Yes
2315,Male,30-45,Yes,35,Yes,3G,Major User,Yes,Yes,No,One year,Yes,Auto-payment,73.45,16,No
3084,Male,18-30,No,9,Yes,None,,No,,,One year,Yes,Physical,20.15,16,No
6347,Male,30-45,No,15,Yes,4G,No,No,No,No,Month-to-month,Yes,Auto-payment,68.6,18,No
6115,Female,30-45,Yes,72,Yes,4G,Major User,No,Yes,Yes,Two year,Yes,Auto-payment,109.5,15,No
2951,Male,30-45,No,20,Yes,3G,Sometimes,No,Yes,No,One year,Yes,Physical,64.15,2,No
5763,Female,18-30,No,3,Yes,4G,No,No,No,No,Month-to-month,Yes,Online Transfer,70.25,13,No
2782,Male,30-45,Yes,38,Yes,3G,Major User,Yes,Yes,Yes,Two year,Yes,Auto-payment,85.4,16,No
3436,Male,18-30,No,25,Yes,,,No,,,One year,Yes,Auto-payment,19.5,12,No
556,Female,18-30,No,1,Yes,None,,No,,,Month-to-month,No,Auto-payment,19.9,5,No
6090,Male,30-45,Yes,68,Yes,4G,Major User,No,No,Yes,Two year,Yes,Auto-payment,103.25,18,No
6135,Male,30-45,Yes,71,Yes,4G,Major User,Yes,Yes,Yes,Two year,Yes,Auto-payment,114,5,No
4171,Male,18-30,No,9,Yes,None,,No,,,Month-to-month,Yes,Physical,18.95,20,Yes
6988,Female,30-45,Yes,23,Yes,3G,Sometimes,Yes,Yes,No,Month-to-month,Yes,Auto-payment,69.5,14,No
1967,Male,18-30,No,69,Yes,3G,Sometimes,Yes,Yes,Yes,One year,Yes,Auto-payment,78.6,18,Yes
4786,Male,18-30,No,72,Yes,,Major User,Yes,No,Yes,Two year,Yes,Online Transfer,103.65,4,No
2223,Female,18-30,No,28,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Online Transfer,89.95,28,Yes
6312,Male,18-30,No,54,Yes,4G,Major User,No,Yes,No,One year,Yes,Auto-payment,105.4,25,Yes
3734,Female,>60,No,72,Yes,4G,Major User,Yes,Yes,Yes,Two year,Yes,Auto-payment,108.1,4,No
3433,Male,18-30,No,61,Yes,4G,Major User,Yes,No,Yes,One year,Yes,Online Transfer,107.75,19,No
2451,Male,30-45,Yes,28,Yes,4G,Major User,Yes,No,No,One year,No,Online Transfer,106.1,27,Yes
5024,Male,30-45,No,72,Yes,None,,Yes,,,Two year,No,Physical,25.4,18,No
3309,Female,18-30,No,25,Yes,None,,No,,,One year,No,Auto-payment,19.9,3,No
6243,Female,30-45,Yes,72,Yes,3G,Major User,Yes,No,Yes,Two year,Yes,Auto-payment,83.6,13,No
3548,Male,18-30,No,71,Yes,4G,Sometimes,Yes,Yes,No,One year,No,Auto-payment,97.65,10,No
5311,Female,30-45,No,6,Yes,None,,No,,,Month-to-month,No,Auto-payment,19.5,22,Yes
4368,Female,>60,No,9,Yes,4G,Sometimes,No,No,No,Month-to-month,Yes,Online Transfer,80.85,20,Yes
5356,Female,30-45,No,26,No,3G,No,,No,Yes,One year,No,Auto-payment,35.4,15,No
5870,Male,30-45,Yes,5,Yes,None,,Yes,,,Month-to-month,Yes,Auto-payment,25.9,24,Yes
5375,Female,18-30,No,1,Yes,3G,No,No,Yes,No,Month-to-month,Yes,Online Transfer,50.8,29,Yes
1426,Male,45-60,No,71,Yes,4G,No,Yes,Yes,Yes,One year,Yes,Online Transfer,92,7,No
4419,Female,30-45,Yes,8,Yes,None,,No,,,Month-to-month,No,Auto-payment,21.05,11,No
803,Female,30-45,No,46,Yes,3G,Sometimes,No,Yes,No,Two year,Yes,Auto-payment,64.2,15,No
6833,Female,>60,No,18,Yes,4G,Major User,Yes,Yes,No,Month-to-month,Yes,Auto-payment,103.6,17,No
2207,Female,30-45,No,7,Yes,4G,Sometimes,No,No,Yes,Month-to-month,Yes,Online Transfer,86.25,16,Yes
2246,Female,30-45,Yes,1,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,102.45,19,Yes
5858,Female,18-30,No,61,Yes,None,,No,,,One year,No,Auto-payment,19.45,9,No
6621,Female,30-45,Yes,46,Yes,None,,No,,,Two year,No,Auto-payment,19.4,14,No
321,Female,30-45,Yes,72,No,3G,Major User,,Yes,Yes,Two year,Yes,Online Transfer,60,11,No
2678,Male,18-30,No,30,Yes,None,,No,,,One year,No,Physical,19.7,6,No
1327,Male,30-45,No,59,Yes,4G,Major User,Yes,No,Yes,One year,Yes,Auto-payment,99.5,29,Yes
3516,Male,18-30,No,3,Yes,3G,No,No,No,No,Month-to-month,Yes,Online Transfer,43.3,23,Yes
3076,Female,18-30,No,6,Yes,3G,No,No,No,No,Month-to-month,No,Online Transfer,56.25,15,Yes
1437,Male,18-30,No,27,Yes,3G,No,Yes,No,No,Month-to-month,No,Physical,49,10,No
6196,Male,18-30,No,69,Yes,4G,Major User,Yes,No,Yes,Two year,Yes,Auto-payment,110.05,13,No
2932,Male,45-60,No,55,Yes,4G,Major User,Yes,Yes,Yes,Two year,Yes,Online Transfer,113.6,15,No
1799,Female,18-30,No,10,Yes,4G,Major User,Yes,No,No,Month-to-month,Yes,Online Transfer,98.7,24,Yes
4060,Male,30-45,Yes,54,Yes,3G,Sometimes,Yes,No,Yes,Two year,No,Auto-payment,63.35,18,No
1974,Male,30-45,No,11,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Online Transfer,74.95,28,Yes
1032,Female,>60,No,8,Yes,4G,Major User,No,No,Yes,Month-to-month,Yes,Online Transfer,92.1,28,Yes
4095,Male,18-30,No,3,Yes,4G,No,No,Yes,No,Month-to-month,Yes,Physical,82.3,9,No
3463,Male,18-30,No,37,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Online Transfer,91.15,999,No
5815,Male,>60,No,9,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Online Transfer,85.05,23,Yes
6122,Female,18-30,No,17,Yes,None,,No,,,One year,No,Physical,19.55,14,No
353,Male,30-45,Yes,4,Yes,,No,Yes,No,Yes,Month-to-month,Yes,Auto-payment,84.8,18,Yes
5125,Female,30-45,No,11,Yes,4G,Major User,Yes,No,No,Month-to-month,Yes,Online Transfer,94,19,Yes
2984,Female,30-45,No,26,Yes,None,,Yes,,,One year,No,Physical,26,5,No
5027,Male,45-60,No,10,Yes,4G,Sometimes,Yes,No,No,Month-to-month,No,Online Transfer,85.55,24,Yes
1372,Male,18-30,No,23,Yes,4G,Major User,No,No,No,Month-to-month,No,Physical,95.3,6,No
861,Male,30-45,Yes,64,Yes,,Sometimes,Yes,No,Yes,Two year,No,Auto-payment,93.4,4,No
6846,Female,18-30,No,1,Yes,4G,No,Yes,No,Yes,Month-to-month,Yes,Physical,79.55,22,Yes
1697,Female,30-45,Yes,63,Yes,3G,Sometimes,No,Yes,Yes,Two year,No,Auto-payment,75.55,19,No
3080,Male,18-30,No,2,No,3G,No,,No,No,Month-to-month,No,Physical,24.3,19,No
5643,Male,18-30,No,1,Yes,4G,No,No,Yes,No,Month-to-month,Yes,Online Transfer,75.9,20,Yes
5396,Female,18-30,Yes,35,Yes,,,No,,,One year,Yes,Auto-payment,20.1,17,No
5423,Male,18-30,No,13,Yes,,Sometimes,No,No,No,Month-to-month,Yes,Online Transfer,80.85,24,Yes
1094,Male,30-45,Yes,41,Yes,3G,Sometimes,Yes,No,Yes,One year,No,Auto-payment,68.5,4,No
6164,Male,45-60,No,45,Yes,3G,Sometimes,Yes,Yes,Yes,Two year,No,Auto-payment,75.15,3,No
3886,Female,45-60,No,72,Yes,4G,Major User,Yes,No,No,One year,Yes,Auto-payment,106.85,19,No
1190,Male,18-30,No,38,Yes,4G,Major User,Yes,No,No,One year,Yes,Online Transfer,104.85,2,No
3249,Female,30-45,Yes,10,Yes,3G,No,No,No,Yes,Month-to-month,Yes,Physical,55.55,4,No
2194,Male,18-30,No,1,Yes,4G,Sometimes,No,No,No,Month-to-month,Yes,Online Transfer,79.5,17,Yes
445,Female,18-30,No,60,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,105.9,20,Yes
3095,Male,18-30,No,11,Yes,4G,Sometimes,No,No,Yes,Month-to-month,No,Online Transfer,84.8,3,No
168,Male,45-60,No,58,No,3G,Sometimes,,No,Yes,Month-to-month,Yes,Online Transfer,45.3,22,Yes
2549,Male,18-30,No,2,Yes,,,No,,,Month-to-month,No,Physical,20.05,13,No
859,Male,30-45,Yes,72,No,,Major User,,Yes,Yes,Two year,Yes,Auto-payment,64.8,7,No
1973,Male,30-45,Yes,72,Yes,3G,Major User,No,Yes,Yes,Two year,Yes,Online Transfer,80.8,8,No
2480,Male,45-60,No,59,Yes,4G,Major User,Yes,No,No,Month-to-month,Yes,Auto-payment,93.85,17,Yes
5943,Male,18-30,No,1,Yes,4G,Sometimes,No,No,Yes,Month-to-month,Yes,Online Transfer,84.85,18,Yes
3085,Male,18-30,No,3,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Auto-payment,105.35,26,Yes
3014,Male,45-60,No,44,Yes,4G,Sometimes,Yes,No,Yes,Month-to-month,Yes,Online Transfer,89.2,17,No
5701,Female,30-45,Yes,15,Yes,3G,Major User,No,Yes,Yes,Month-to-month,No,Auto-payment,76.5,17,No
2029,Male,30-45,No,67,Yes,,Sometimes,No,No,No,One year,Yes,Auto-payment,90.6,29,Yes
3737,Female,18-30,No,5,Yes,3G,No,Yes,No,No,Month-to-month,Yes,Physical,50.6,18,Yes
5683,Female,18-30,No,39,No,3G,Major User,,No,Yes,Month-to-month,Yes,Online Transfer,50.75,21,Yes
6670,Female,30-45,Yes,0,Yes,3G,Sometimes,Yes,Yes,Yes,Two year,No,Physical,73.35,4,No
47,Female,18-30,No,2,Yes,4G,Sometimes,No,No,No,Month-to-month,Yes,Online Transfer,80.65,29,Yes
2138,Female,30-45,Yes,54,Yes,3G,Sometimes,No,Yes,Yes,Two year,No,Auto-payment,69.95,19,No
4455,Female,18-30,No,1,Yes,3G,No,No,No,Yes,Month-to-month,Yes,Physical,50.45,17,Yes
5110,Female,18-30,No,8,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Online Transfer,73.5,18,No
2521,Male,45-60,No,36,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Auto-payment,85.25,20,Yes
4964,Female,18-30,No,26,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Auto-payment,74.95,26,Yes
6735,Female,30-45,Yes,71,Yes,3G,Major User,No,Yes,Yes,Two year,No,Auto-payment,87.25,11,No
5694,Female,30-45,No,33,Yes,,No,No,Yes,No,One year,Yes,Physical,51.45,16,No
5588,Male,18-30,No,1,Yes,,No,No,No,Yes,Month-to-month,Yes,Physical,49.65,15,Yes
831,Male,30-45,Yes,38,Yes,None,,Yes,,,Two year,No,Auto-payment,25.05,19,No
4140,Female,18-30,No,63,Yes,4G,Major User,Yes,No,No,One year,No,Auto-payment,99.9,25,Yes
5278,Female,30-45,Yes,56,Yes,4G,Major User,Yes,Yes,Yes,Month-to-month,Yes,Physical,109.6,18,No
3892,Female,18-30,No,17,Yes,,,No,,,Month-to-month,No,Auto-payment,19.7,11,No
3338,Female,18-30,No,12,Yes,4G,Sometimes,No,Yes,Yes,Month-to-month,Yes,Online Transfer,89.4,24,Yes
3009,Male,18-30,No,1,Yes,None,,Yes,,,Month-to-month,Yes,Physical,25,3,No
3536,Female,18-30,No,1,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Physical,79.15,10,No
6612,Male,30-45,Yes,1,Yes,4G,No,No,No,No,Month-to-month,Yes,Physical,69.9,21,Yes
437,Male,30-45,Yes,72,Yes,4G,Major User,Yes,Yes,Yes,Two year,Yes,Auto-payment,114.05,5,No
2973,Female,30-45,Yes,62,Yes,4G,Major User,No,No,Yes,Month-to-month,Yes,Online Transfer,100.15,22,Yes
29,Female,18-30,Yes,17,Yes,3G,Major User,No,No,No,Month-to-month,Yes,Physical,64.7,25,Yes
4535,Female,30-45,Yes,30,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,100.05,18,Yes
2208,Female,45-60,No,1,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,100.8,19,Yes
69,Male,18-30,No,10,Yes,4G,No,No,No,Yes,Month-to-month,Yes,Physical,79.85,19,No
1285,Male,45-60,No,7,Yes,4G,Major User,No,No,No,Month-to-month,Yes,Online Transfer,89.5,28,Yes
5827,Male,30-45,Yes,34,Yes,4G,Sometimes,Yes,No,Yes,Month-to-month,Yes,Auto-payment,90.05,6,No
4814,Female,18-30,No,22,Yes,4G,Sometimes,Yes,Yes,No,Month-to-month,Yes,Online Transfer,90,21,Yes
5186,Female,>60,No,1,No,3G,Sometimes,,No,No,Month-to-month,Yes,Online Transfer,36.45,23,Yes
6393,Male,18-30,No,10000,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Auto-payment,92.4,15,No
1434,Male,18-30,No,12,Yes,4G,Major User,Yes,Yes,No,Month-to-month,Yes,Physical,99.95,19,Yes
756,Male,18-30,No,66,Yes,None,,No,,,Two year,No,Auto-payment,19.7,5,No
694,Female,>60,No,22,Yes,,,No,,,One year,Yes,Physical,20.05,13,No
3088,Male,30-45,Yes,46,Yes,3G,Major User,No,Yes,Yes,Two year,No,Physical,81,7,No
355,Female,18-30,No,10,Yes,4G,Sometimes,No,No,No,Month-to-month,Yes,Auto-payment,80.25,19,Yes
4749,Male,18-30,No,5,Yes,3G,No,No,Yes,No,Month-to-month,Yes,Online Transfer,49.2,21,Yes
2772,Female,30-45,Yes,67,Yes,,Sometimes,Yes,Yes,No,Two year,No,Auto-payment,74,7,No
2016,Female,18-30,No,10,Yes,4G,Sometimes,Yes,No,No,Month-to-month,No,Online Transfer,86.45,25,Yes
6195,Male,18-30,No,4,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Auto-payment,72.2,24,Yes
6839,Female,18-30,No,11,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,100.75,28,Yes
131,Female,30-45,Yes,25,No,3G,Major User,,No,Yes,Month-to-month,Yes,Auto-payment,58.6,25,Yes
3334,Female,18-30,No,41,Yes,,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,106.3,29,Yes
5695,Female,30-45,No,72,Yes,4G,No,Yes,No,No,Two year,No,Auto-payment,80.45,18,No
4969,Female,30-45,No,2,Yes,None,,No,,,Month-to-month,No,Auto-payment,19.85,10,No
5009,Male,30-45,No,66,Yes,4G,Major User,Yes,Yes,Yes,One year,No,Auto-payment,115.8,15,No
385,Male,45-60,No,11,Yes,None,,No,,,Month-to-month,No,Physical,19.95,15,Yes
5456,Female,18-30,No,13,No,3G,No,,No,No,Month-to-month,Yes,Online Transfer,31.05,24,Yes
6660,Male,30-45,No,1,Yes,4G,No,No,No,No,Month-to-month,Yes,Online Transfer,69.15,28,Yes
1146,Male,18-30,No,29,No,3G,No,,Yes,No,One year,No,Physical,35.6,9,No
276,Female,30-45,No,52,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,105.05,25,Yes
327,Female,>60,No,2,Yes,4G,No,No,No,No,Month-to-month,Yes,Online Transfer,70.35,27,Yes
4760,Male,30-45,Yes,66,Yes,3G,Sometimes,No,Yes,Yes,One year,Yes,Online Transfer,75.1,17,No
287,Male,30-45,No,1,Yes,,No,No,No,No,Month-to-month,No,Online Transfer,70,15,Yes
6372,Male,30-45,Yes,4,Yes,None,,No,,,Two year,No,Auto-payment,19.5,4,No
2181,Female,30-45,Yes,50,Yes,,Major User,Yes,Yes,Yes,One year,Yes,Auto-payment,84.15,18,No
4351,Female,18-30,No,7,Yes,None,,No,,,Month-to-month,No,Physical,20.35,19,No
4695,Female,18-30,No,35,Yes,None,,No,,,One year,No,Physical,20.75,15,No
637,Female,30-45,No,68,Yes,3G,No,Yes,Yes,Yes,Two year,No,Auto-payment,70.9,18,No
5256,Male,30-45,Yes,52,Yes,4G,Sometimes,Yes,Yes,Yes,Two year,Yes,Auto-payment,96.25,15,Yes
5116,Male,18-30,No,1,Yes,4G,No,No,No,No,Month-to-month,No,Online Transfer,70.4,20,Yes
720,Male,30-45,Yes,2,Yes,None,,No,,,One year,No,Physical,20.2,10,No
3520,Female,30-45,No,16,Yes,None,,No,,,Month-to-month,No,Physical,19.6,12,No
1132,Female,45-60,No,11,Yes,4G,Major User,Yes,Yes,Yes,Month-to-month,Yes,Auto-payment,104.05,26,Yes
2012,Female,30-45,No,47,Yes,4G,Sometimes,Yes,No,Yes,Month-to-month,Yes,Online Transfer,98.75,25,Yes
2288,Female,18-30,No,5,Yes,4G,Sometimes,No,No,No,Month-to-month,Yes,Physical,85.3,11,No
6568,Male,30-45,Yes,8,Yes,,,No,,,Two year,No,Physical,19.7,16,No
5700,Male,45-60,No,29,Yes,4G,No,Yes,Yes,No,Month-to-month,Yes,Online Transfer,79.3,16,No
4416,Female,30-45,No,17,Yes,3G,Major User,Yes,No,No,Month-to-month,Yes,Auto-payment,75.4,999,No
2356,Male,18-30,No,46,Yes,3G,No,No,No,No,Month-to-month,Yes,Auto-payment,45.2,19,No
548,Male,45-60,No,50,Yes,4G,Sometimes,Yes,No,Yes,One year,Yes,Auto-payment,101.9,13,No
975,Male,18-30,No,71,Yes,4G,Major User,Yes,Yes,Yes,Two year,Yes,Online Transfer,108.05,21,Yes
1390,Female,30-45,Yes,72,Yes,3G,Sometimes,No,No,Yes,Two year,No,Auto-payment,68.75,6,No
5841,Male,>60,No,70,No,3G,Major User,,No,No,One year,Yes,Online Transfer,45.25,24,Yes
1870,Male,18-30,No,1,Yes,3G,No,No,No,No,Month-to-month,Yes,Physical,45.55,4,No
4825,Male,18-30,No,22,Yes,4G,Sometimes,Yes,No,No,Month-to-month,No,Online Transfer,83.05,14,No
6434,Male,18-30,No,10000,Yes,3G,No,No,No,Yes,Month-to-month,Yes,Online Transfer,50.5,18,Yes
3748,Male,18-30,No,48,Yes,3G,Major User,No,Yes,Yes,Two year,No,Auto-payment,78.9,2,No
6375,Female,18-30,No,1,Yes,4G,No,No,No,No,Month-to-month,Yes,Auto-payment,74.3,18,Yes
1267,Male,30-45,No,64,Yes,3G,Sometimes,Yes,Yes,Yes,Two year,Yes,Auto-payment,76.1,13,No
289,Male,18-30,No,10,Yes,3G,No,No,No,No,Month-to-month,Yes,Auto-payment,44.85,999,Yes
2894,Female,18-30,No,48,Yes,3G,No,No,Yes,Yes,One year,Yes,Auto-payment,60.35,20,Yes
595,Female,18-30,No,12,Yes,3G,No,Yes,Yes,Yes,Month-to-month,Yes,Physical,61.65,28,Yes
3248,Male,45-60,No,10,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Online Transfer,86.65,27,Yes
1115,Male,18-30,No,39,Yes,3G,No,Yes,Yes,No,Two year,Yes,Auto-payment,53.85,11,No
5845,Female,18-30,No,3,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Online Transfer,75.8,25,Yes
1961,Female,18-30,No,42,Yes,3G,No,Yes,No,No,One year,Yes,Auto-payment,60.15,18,No
3506,Male,18-30,No,19,Yes,4G,No,Yes,No,Yes,Month-to-month,Yes,Online Transfer,84.75,11,No
86,Female,30-45,No,35,Yes,3G,Sometimes,No,No,No,One year,Yes,Auto-payment,62.15,7,No
290,Male,>60,No,24,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Online Transfer,76.1,29,Yes
1223,Female,18-30,No,2,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Online Transfer,75.9,29,Yes
610,Male,30-45,Yes,9,No,3G,No,,No,No,Month-to-month,Yes,Online Transfer,29.95,25,Yes
6991,Female,18-30,No,8,Yes,4G,Major User,Yes,No,No,Month-to-month,No,Auto-payment,95.65,24,Yes
2649,Female,30-45,No,64,Yes,None,,Yes,,,Two year,No,Auto-payment,25,12,No
